品項	填入者	同義詞	登錄	難丟的原因1	難丟的原因2	圖層評估	可分解為哪些部分/材質	回收前使用者應做什麼處理	處理後應該丟哪一類?	使用場域	各縣市回收狀況	回收率	資源化比例	特殊標籤	文案	內容撰寫QA（vs. REnato）	字數統計	補充說明	年使用量	有多少廠商願意回收	後續處理流程（可回收/不可回收）
手搖飲料杯（示範格式）		手搖杯、飲料杯、一次性飲料杯、珍珠奶茶	◯	-	-		"吸管-PP/PE
封膜-PP/PE
塑膠杯-PP"	沖洗、撕除封膜	"吸管-一般垃圾
封膜-一般垃圾
塑膠杯-塑膠容器類"	1,2,5,6	"不可回收
不可回收
可回收"	"一般垃圾
一般垃圾
塑膠容器類"		欠回收啦
塑膠飲料杯	Re-lab	手搖杯、飲料杯、一次性飲料杯、珍珠奶茶	◯	使用-回收前需要分離/沖洗		複雜	"吸管-塑膠(PP/PE)
封膜-塑膠(PP/PE)
塑膠杯-塑膠(PP)"	沖洗、撕除封膜	"吸管-一般垃圾
封膜-一般垃圾
塑膠杯-塑膠容器類"	1,2,5,6	"吸管-可回收
杯蓋-可回收
塑膠杯-可回收"	塑膠容器類：45.79%	廢塑膠容器：93.77%	分類不正確	下班放學後總會想來杯手搖飲料犒賞自己一天的努力嗎？近年環保意識抬頭，廠商除了可以回收的PP塑膠杯外，還可能選用號稱生物可分解的PLA塑膠杯。原本喝完飲料只要撕去封膜沖洗後就可將杯子直接回收、封膜丟入一般垃圾，現在你需要多看一眼杯身回收標誌中的數字，若是7號其他類塑膠只能丟入一般垃圾。盡可能自備環保杯購買，可以享折扣又減少垃圾喔！	 	165
紙飲料杯	Re-lab	手搖杯、飲料杯、一次性飲料杯、珍珠奶茶	◯	處理-價格誘因低		複雜	"吸管-塑膠(PP/PE)
封膜-塑膠(PP/PE)
紙杯-紙
塑膠淋膜-塑膠(PE/PP)"	沖洗、撕除封膜	"吸管-一般垃圾
封膜-一般垃圾
紙杯-紙容器
塑膠淋膜-無"	1,2,5,6	"吸管-不可回收
封膜-不可回收
紙杯-可回收
塑膠淋膜-不可回收"	廢紙容器：63.97%	廢紙容器：63.97%		塑膠杯可能無法回收讓你感到愧疚嗎？但別覺得改用紙杯就沒事啊！紙包不住火也包不住水，能夠像這樣裝飲料是因為內部有一層淋膜。喝完後撕去封膜沖洗後雖然可以與紙餐盒等有塑膠淋膜的紙製品一同回收，但廢紙回收率只佔六成，而且回收量不足可能就無法被有效回收，所以還是盡可能自備環保杯購買吧。		138
保麗龍飲料杯	Re-lab	手搖杯、飲料杯、一次性飲料杯、珍珠奶茶	◯	處理-價格誘因低		複雜	"吸管-塑膠(PP/PE)、
封膜-塑膠(PP/PE)、
保麗龍杯-塑膠(PS)"	沖洗、撕除封膜	"吸管-一般垃圾、
封膜-一般垃圾、
保麗龍杯-塑膠容器"	1,2,5,6	"吸管-不可回收、
封膜-不可回收、
保麗龍杯-可回收"	廢塑膠容器：45.79%	廢塑膠容器：93.77%		近年政府逐漸重視保麗龍對環境的影響，向各大業者勸導避免使用保麗龍杯，甚至「台中市發展低碳自治條例」中也禁用並提出罰則，但至今仍可以買到保麗龍杯裝的飲品。保麗龍雖然是可以保冰又能回收的材質，但其實回收效率不佳外，材質更不耐酸蝕、有釋放有害物質的風險，建議為了環境與自己的健康，自備環保杯購買飲料甚至建議業者改用其他材質的容器才是更好的方式。		169
牛奶盒	Re-lab	牛奶紙盒	◯	處理-組成物品的材質複雜		複雜	"紙盒-紙、
塑膠淋膜-塑膠(PE/PP)、
鋁箔-鋁、
塑膠旋蓋-塑膠(PP/PE)"	沖洗	"紙盒-紙容器、
塑膠淋膜-無、
塑膠旋蓋-一般塑膠"	1,2,5,6	"紙盒-可回收、
塑膠淋膜-不可回收、
塑膠旋蓋-可回收"	廢紙容器：63.97%	廢紙容器：63.97%	建議少用	喝完牛奶的紙盒，你會怎麼處理呢？紙包不住火也包不住水，可以裝盛著牛奶的紙盒其實是因為裡面有一層PE或PP的塑膠淋膜，牛奶喝完後以水沖洗乾淨就可以跟其他廢紙容器交給清潔人員回收處理。廠房雖然可以分離複合在盒上的蓋子，但如果你行有餘力能幫忙切下來另外回收的話就能讓這些小塑膠物件更有效被回收喔。		145
超商熱咖啡杯	Re-lab	7-11咖啡、全家咖啡、咖啡杯、咖啡紙杯	◯	處理-不同材質難以分選		複雜	"塑膠杯蓋-塑膠(PP)、
紙杯身-紙、
塑膠淋膜-塑膠(PE/PP)、
隔熱杯套-紙"	沖洗	"塑膠杯蓋-塑膠容器類、
紙杯身-紙容器、
塑膠淋膜-無、
隔熱杯套-一般用紙類"	1,2,5,6	"塑膠杯蓋-可回收、
紙杯身-可回收、
塑膠淋膜-不可回收、
隔熱杯套-可回收"	廢紙容器：63.97%	廢紙容器：63.97%	建議少用	每個成功的男/女人背後，不一定會有支持你的伴侶，但相信一定有一杯陪你度過爆肝燒腦夜晚、陪伴你迎接嶄新一天的咖啡。但喝完咖啡你都怎麼處理呢？紙杯可以與廢紙容器回收，PP材質的塑膠杯蓋可以廢塑膠容器回收，但如果你每天都需要一杯咖啡，自備保溫杯購買一年就可以減少製造1300個杯子，還能享有環保優惠呢！		148
養樂多	Re-lab		◯	處理-價格誘因低		"◯
"	"鋁製封膜-鋁、
塑膠瓶-塑膠(PS)"	沖洗、撕除封膜	"鋁製封膜-一般垃圾、
塑膠瓶-塑膠容器類"	1,2,5,6	"鋁製封膜-一般垃圾、
塑膠瓶-塑膠容器類"	廢塑膠容器：45.79%	廢塑膠容器：93.77%		你知道嗎？你喝的養樂多是用「保麗龍」裝的喔！養樂多容器其實跟保麗龍是相同材料在不同製程下而形成迥異的型態。通常大家喝完可能會跟吃完的便當一起丟入一般垃圾中，但其實應該清洗後跟廢塑膠容器一起交給回收人員，而瓶口含鋁的封膜則丟到一般垃圾。		117
雨傘	Re-lab	陽傘、傘	◯	使用-民眾不知道如何回收		◯	"傘骨-鋁,鐵、玻璃纖維樹脂、
傘布-尼龍布、
握把配件-橡塑膠, 木, 鋁"	依各元件拆解為傘骨、傘布	"傘骨-鐵製品
傘布-一般垃圾
握把配件-鐵鋁製品、一般垃圾、一般塑膠"	1,5,6	"傘骨-可回收
傘布-不可回收
握把配件-部分可回收"	"無資料

"	-	常被分錯	壞掉、開花到無法修復的雨傘該如何處理呢？由尼龍纖維製成的傘布跟木頭製的握把應該拆解下來後丟入一般垃圾，而鋁、鐵等金屬製成的傘骨與塑膠的握把則回收處理，（玻璃纖維樹脂傘骨怎麼辦？？)。通常大家會直接丟到一般垃圾中處理，但仔細拆解後回收不只是對資源再利用的智慧與對環境的愛惜，更是向雨傘表達至今以來為我們遮風避雨的感謝之情的最好方式。		165
安全帽	Re-lab		◯	使用-民眾不知道如何回收		複雜	"外殼-塑膠(ABS)、
緩衝內裡塑膠-塑膠(PET),棉、
保麗龍-塑膠(PS)、
扣件-塑膠(POM,PA,ABS)"	分解元件	-	1,5	"部分縣市可回收：桃園市
部分需拆解後回收，可不拆解直接回收縣市有臺北市"	"無資料

"	-	常被分錯	安全帽如果不再使用時你會怎麼處理呢？其實安全帽的組成包含了：外殼的ABS樹脂、夾層內的PS保麗龍，緩衝內裡可能使用了PET或棉，扣件可能包含了POM,PA,ABS等塑膠跟金屬。部分縣市如桃園市有回收，而部分縣市如台北市可以完全不拆解直接回收。下次有不要的安全帽記得不要丟到垃圾桶去喔！	有一些產品內襯會使用PET	142
夾腳拖	Re-lab	拖鞋、人字拖	◯			✕	"鞋底-PVC, EVA,TPU等塑膠彈性體、
鞋帶-PVC, EVA,TPU等塑膠彈性體"	不能回收	一般垃圾	1,5	不可回收	0%	0%	-	夾腳拖的材質通常為PVC, EVA,TPU等彈性橡塑膠，材質特性與技術限制下目前不能回收處理，只能直接丟入一般垃圾中焚化或掩埋。但即使一雙拖鞋可能只要幾十元，最好的辦法還是盡可能長久使用，老是像灰姑娘一樣把一隻腳忘在任何地方只是變相的亂丟垃圾，是不會有王子撿給你的醒醒吧。		136
